x1,x2,x3,x4,x5,x6,x7,math
-4.0,11.0,28.0,19.0,9.0,8.0,4.0,118.0
-2.0,3.0,29.0,18.0,9.0,7.0,3.0,111.0
-2.0,-6.0,21.0,16.0,2.0,1.0,-0.0,110.0
17.0,7.0,28.0,18.0,4.0,-1.0,-1.0,117.0
-5.0,-7.0,25.0,14.0,4.0,3.0,3.0,105.0
18.0,16.0,26.0,16.0,3.0,-1.0,-1.0,122.0
-9.0,4.0,29.0,20.0,8.0,6.0,6.0,102.0
-7.0,-11.0,29.0,21.0,6.0,1.0,4.0,93.0
-5.0,6.0,28.0,21.0,5.0,5.0,4.0,103.0
12.0,9.0,30.0,20.0,2.0,-1.0,0.0,109.0
10.0,4.0,28.0,19.0,3.0,-0.0,-1.0,111.0
-5.0,9.0,26.0,17.0,4.0,9.0,5.0,114.0
-3.0,0.0,29.0,20.0,9.0,7.0,5.0,114.0
11.0,1.0,27.0,18.0,3.0,-1.0,-1.0,112.0
12.0,1.0,25.0,15.0,5.0,-1.0,-1.0,121.0
12.0,4.0,25.0,17.0,2.0,1.0,-0.0,121.0
-1.0,3.0,20.0,24.0,3.0,-0.0,-0.0,116.0
12.0,9.0,28.0,17.0,4.0,0.0,-1.0,117.0
15.0,6.0,29.0,16.0,2.0,0.0,2.0,117.0
-4.0,-7.0,25.0,19.0,-0.0,2.0,2.0,100.0
-2.0,-2.0,25.0,18.0,6.0,3.0,1.0,110.0
12.0,9.0,30.0,19.0,5.0,-0.0,-0.0,111.0
8.0,1.0,29.0,19.0,4.0,2.0,1.0,109.0
-8.0,-14.0,26.0,17.0,-2.0,1.0,3.0,87.0
-2.0,-0.0,22.0,21.0,1.0,4.0,2.0,115.0
-4.0,-5.0,27.0,20.0,3.0,2.0,2.0,100.0
-2.0,3.0,31.0,18.0,8.0,7.0,6.0,108.0
-3.0,-1.0,21.0,13.0,4.0,0.0,1.0,113.0
-3.0,-9.0,26.0,17.0,2.0,0.0,2.0,100.0
-1.0,-5.0,28.0,19.0,2.0,3.0,2.0,102.0
-3.0,-13.0,26.0,16.0,2.0,0.0,1.0,99.0
10.0,5.0,25.0,16.0,1.0,1.0,0.0,115.0
-6.0,4.0,28.0,21.0,3.0,4.0,4.0,99.0
-10.0,-9.0,26.0,19.0,5.0,5.0,2.0,98.0
-2.0,1.0,23.0,22.0,4.0,3.0,3.0,114.0
-5.0,5.0,29.0,20.0,8.0,5.0,4.0,104.0
11.0,4.0,25.0,16.0,7.0,2.0,-1.0,124.0
-0.0,-9.0,24.0,15.0,2.0,-3.0,0.0,102.0
14.0,5.0,25.0,15.0,-1.0,-1.0,-0.0,116.0
9.0,8.0,26.0,19.0,4.0,0.0,0.0,115.0
11.0,7.0,27.0,18.0,4.0,0.0,-0.0,113.0
-1.0,-8.0,28.0,19.0,5.0,3.0,3.0,103.0
8.0,2.0,30.0,19.0,4.0,1.0,3.0,105.0
-10.0,-11.0,27.0,17.0,4.0,-0.0,2.0,87.0
11.0,4.0,29.0,18.0,5.0,0.0,1.0,113.0
21.0,10.0,26.0,16.0,1.0,-4.0,-2.0,119.0
-0.0,-7.0,23.0,17.0,1.0,-2.0,1.0,102.0
-6.0,5.0,28.0,21.0,6.0,4.0,5.0,98.0
13.0,1.0,28.0,17.0,5.0,0.0,2.0,120.0
9.0,2.0,30.0,15.0,2.0,3.0,4.0,112.0
14.0,3.0,25.0,15.0,6.0,1.0,0.0,126.0
-3.0,7.0,21.0,24.0,4.0,3.0,1.0,120.0
17.0,5.0,28.0,17.0,0.0,1.0,-1.0,119.0
10.0,1.0,29.0,19.0,3.0,0.0,2.0,111.0
-1.0,-9.0,26.0,16.0,3.0,1.0,1.0,99.0
-2.0,-2.0,29.0,19.0,4.0,-0.0,1.0,92.0
19.0,9.0,27.0,16.0,4.0,-3.0,-2.0,123.0
20.0,4.0,29.0,18.0,2.0,2.0,-1.0,124.0
9.0,1.0,29.0,20.0,4.0,1.0,2.0,111.0
-4.0,-1.0,26.0,19.0,4.0,4.0,3.0,107.0
18.0,8.0,26.0,14.0,4.0,0.0,-0.0,127.0
-8.0,-1.0,23.0,18.0,5.0,3.0,3.0,106.0
11.0,7.0,28.0,18.0,5.0,1.0,1.0,119.0
18.0,6.0,30.0,19.0,-0.0,1.0,-1.0,115.0
10.0,0.0,28.0,17.0,2.0,1.0,0.0,110.0
